method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
pnd,1,10,100,1234,0.74976,0.9888186507936508,0.1970383059712483,9.478
dcf_self_excl,1,10,100,1234,0.64864,0.8583555555555556,0.09874228146372889,8.232
and,1,10,100,1234,0.67716,0.898120634920635,0.4426233902466469,8.617
oracle,0,10,100,1234,0.5004000000000001,1.0989329365079366,0.2663996416031108,6.652
pnd,0,10,100,1234,0.5044000000000001,1.0906773809523809,0.22300729248656045,6.676
dcf_self_excl,0,10,100,1234,0.45136000000000004,0.978147619047619,0.13991390046210697,5.916
and,0,10,100,1234,0.10248,0.2564293650793651,0.7948748653694088,1.558
oracle,1,20,50,42,0.7872800000000002,1.0569599206349207,0.24862092948486547,5.487
pnd,1,20,50,42,0.7697600000000002,1.0097634920634921,0.23811959620542036,5.258
dcf_self_excl,1,20,50,42,0.6704000000000001,0.8744226190476191,0.15319862474637977,4.554
and,1,20,50,42,0.4030400000000001,0.5912396825396825,0.8488132528299263,3.07
oracle,0,20,50,42,0.48080000000000006,1.2326916666666665,0.28299844779403605,3.408
pnd,0,20,50,42,0.46184000000000003,1.1732261904761905,0.2546890639589169,3.229
dcf_self_excl,0,20,50,42,0.43144000000000005,1.0769349206349206,0.16509671411749585,2.999
and,0,20,50,42,0.0004,0.00215,0.9991666666666668,0.005
oracle,1,20,50,123,0.7862400000000003,1.03966626984127,0.24872294367178355,5.438
pnd,1,20,50,123,0.7741600000000002,1.008499603174603,0.2384641374367744,5.287
dcf_self_excl,1,20,50,123,0.6677600000000001,0.8721123015873016,0.15468837501779067,4.567
and,1,20,50,123,0.4097600000000001,0.5903674603174603,0.8465994253125645,3.08
oracle,0,20,50,123,0.4714400000000001,1.2374932539682542,0.28534784643461114,3.309
pnd,0,20,50,123,0.45272,1.2161575396825397,0.2604588483412013,3.207
dcf_self_excl,0,20,50,123,0.42440000000000005,1.1109742063492063,0.16726612024026882,2.961
and,0,20,50,123,0.00032,0.0018333333333333333,0.9993333333333334,0.004
oracle,1,20,50,456,0.7908800000000002,1.0483464285714286,0.24832053835407925,5.486
pnd,1,20,50,456,0.7726400000000001,0.9995408730158731,0.23991849289310893,5.232
dcf_self_excl,1,20,50,456,0.6686400000000001,0.8757841269841269,0.15458864226255623,4.584
and,1,20,50,456,0.40760000000000013,0.5911309523809524,0.8478975572947965,3.081
oracle,0,20,50,456,0.49328000000000005,1.230277380952381,0.2803402039137333,3.426
pnd,0,20,50,456,0.4578400000000001,1.158584523809524,0.26147668997668994,3.191
dcf_self_excl,0,20,50,456,0.43184000000000006,1.0597234126984125,0.16599029850998823,2.992
and,0,20,50,456,0.00016,0.00045,0.9992619047619048,0.002
oracle,1,20,50,789,0.7902400000000002,1.0564194444444444,0.25081361619213904,5.512
pnd,1,20,50,789,0.77192,1.0049511904761905,0.24022245036671308,5.257
