method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_fixed_low,homo,10,50,42,1000,2.48,2.633,0.9793333333333288,4.288,0.13134251968791477,0.04964504766038138,2.4162756974836297
ema_fixed_high,homo,10,50,42,1000,2.54,2.633,1.002666666666663,3.73,0.14672264440021873,0.04618511708166924,3.8553871334367122
ema_adaptive,homo,10,50,42,1000,2.52,2.633,0.9943333333333286,4.087,0.12295804977616158,0.049079404349664776,2.251410405027548
consec_L2,homo,10,50,42,1000,2.545,2.633,1.0053333333333292,3.748,0.14611300920012232,0.04777108772186373,1.7070970865993287
consec_L4,homo,10,50,42,1000,2.489,2.633,0.9823333333333293,4.323,0.12633259110170914,0.05086075283702146,0.5079275096420607
oracle,homo,10,50,123,1000,2.651,2.66,1.0351666666666632,2.359,0.248936370329017,0.0,0.0
mfg_no_excl,homo,10,50,123,1000,2.67,2.66,1.0433333333333301,2.369,0.23668952305004898,0.0,0.0
self_excl_only,homo,10,50,123,1000,2.648,2.66,1.03483333333333,2.395,0.24231565035411748,0.0,0.0
ema_fixed_low,homo,10,50,123,1000,2.481,2.66,0.9678333333333285,4.126,0.1283349310691031,0.04905123157515694,2.3525117521925942
ema_fixed_high,homo,10,50,123,1000,2.532,2.66,0.9889999999999953,3.76,0.1555690862285288,0.04742067172277656,3.8712486434102567
ema_adaptive,homo,10,50,123,1000,2.516,2.66,0.9799999999999957,4.017,0.12955870977148104,0.049588537454842194,2.2717346260937186
consec_L2,homo,10,50,123,1000,2.545,2.66,0.9936666666666627,3.765,0.14165107522336637,0.04743220994201224,1.7469140298126338
consec_L4,homo,10,50,123,1000,2.495,2.66,0.9743333333333283,4.194,0.1276190221371339,0.050483980829520575,0.5320904193458759
oracle,homo,10,50,456,1000,2.652,2.656,1.03633333333333,2.351,0.24858405131160535,0.0,0.0
mfg_no_excl,homo,10,50,456,1000,2.668,2.656,1.0438333333333305,2.279,0.2405103827673872,0.0,0.0
self_excl_only,homo,10,50,456,1000,2.662,2.656,1.03983333333333,2.318,0.2396941549463606,0.0,0.0
ema_fixed_low,homo,10,50,456,1000,2.499,2.656,0.9786666666666617,4.257,0.12486892624489412,0.04970676998453766,2.3386056674878257
ema_fixed_high,homo,10,50,456,1000,2.515,2.656,0.982833333333329,3.704,0.15396331601834692,0.04642101126798456,3.8599578394215044
